productCode,name,description,productUrl,categoryCode,categoryName,imageUrls,date
10400049,Seat Mounting Nuts,These gloss black Seat Mounting Nuts take the hassle out of removing your two-piece seat and complete the blacked out look.,http://harley-davidson.com/dk/da/shop/seat-mounting-nuts/p/10400049,motorcycle-seat-hardware,Seat Hardware,"[""/content/dam/h-d/images/product-images/parts/batch-2/10400049/10400049_TT.tif"",""/content/dam/h-d/images/product-images/parts/batch-2/10400049/10400049_OB.tif""]",2022-02-26
10400069,Screamin' Eagle Milwaukee-Eight Headbolt Kit,Details matter when you are building a high-performance engine or even rebuilding a stock engine. Screamin' Eagle™ Milwaukee-Eight™ Head Bolts were specifically designed for big-displacement and high-compression racing applications and are also the perfect upgrade to any Milwaukee-Eight engine build. Ride with confidence that your top end is locked down for the long run.,http://harley-davidson.com/dk/da/shop/screamin-eagle-milwaukee-eight-headbolt-kit/p/10400069,motorcycle-performance-bagger-trim-kits,Builder Components,"[""/content/dam/h-d/images/product-images/parts/august-2021/10400069/10400069_TT.jpg"",""/content/dam/h-d/images/product-images/parts/august-2021/10400069/10400069_OB.jpg""]",2022-02-26
10500093,Quick-Release Seat Hardware Kit - Gloss Black,This Quick-Release Hardware Kit allows the rider to remove one-piece Harley-Davidson™ seats quickly and easily.,http://harley-davidson.com/dk/da/shop/quick-release-seat-hardware-kit-gloss-black/p/10500093,motorcycle-seat-hardware,Seat Hardware,"[""/content/dam/h-d/images/product-images/parts/batch-2/10500093/10500093_TT.tif"",""/content/dam/h-d/images/product-images/parts/batch-2/10500093/10500093_OB.tif""]",2022-02-26
10800055,Handlebar Mount Clamp,The Handlebar Mount Clamp positions your handlebar clock or temperature gauge for quick and comfortable viewing.,http://harley-davidson.com/dk/da/shop/handlebar-mount-clamp/p/10800055,motorcycle-temp-gauges,Air Temperature & Clocks,"[""/content/dam/h-d/images/product-images/parts/batch-2/10800055/10800055_TT.tif"",""/content/dam/h-d/images/product-images/parts/batch-2/10800055/10800055_OB.tif""]",2022-02-26
10800056,Handlebar Mount Clamp,The Handlebar Mount Clamp positions your handlebar clock or temperature gauge for quick and comfortable viewing.,http://harley-davidson.com/dk/da/shop/handlebar-mount-clamp/p/10800056,motorcycle-temp-gauges,Air Temperature & Clocks,"[""/content/dam/h-d/images/product-images/parts/batch-2/10800056/10800056_TT.tif"",""/content/dam/h-d/images/product-images/parts/batch-2/10800056/10800056_OB.tif""]",2022-02-26
10800057,Handlebar Mount Clamp,The Handlebar Mount Clamp positions your handlebar clock or temperature gauge for quick and comfortable viewing.,http://harley-davidson.com/dk/da/shop/handlebar-mount-clamp/p/10800057,motorcycle-temp-gauges,Air Temperature & Clocks,"[""/content/dam/h-d/images/product-images/parts/batch-2/10800057/10800057_TT.tif"",""/content/dam/h-d/images/product-images/parts/batch-2/10800057/10800057_OB.tif""]",2022-02-26
10800058,Handlebar Mount Clamp,The Handlebar Mount Clamp positions your handlebar clock or temperature gauge for quick and comfortable viewing.,http://harley-davidson.com/dk/da/shop/handlebar-mount-clamp/p/10800058,motorcycle-temp-gauges,Air Temperature & Clocks,"[""/content/dam/h-d/images/product-images/parts/batch-2/10800058/10800058_TT.tif"",""/content/dam/h-d/images/product-images/parts/batch-2/10800058/10800058_OB.tif""]",2022-02-26
11100001,Loctite Silver Grade Anti-Seize,"Heavy-duty, metal-free anti-seize formulation protects metal parts from rust, corrosion, galling and seizing.",http://harley-davidson.com/dk/da/shop/loctite-silver-grade-anti-seize/p/11100001,motorcycle-lubricants-and-sealants,"Lubricants, Greases & Sealants","[""/content/dam/h-d/images/product-images/parts/batch-2/11100001/11100001_TT.tif""]",2022-02-26
11100003,Loctite 248 Threadlocker Stick- Blue,Loctite™ Threadlocker™ Stick is formulated to lock and seal threaded metal fasteners.,http://harley-davidson.com/dk/da/shop/loctite-248-threadlocker-stick-blue/p/11100003,motorcycle-lubricants-and-sealants,"Lubricants, Greases & Sealants","[""/content/dam/h-d/images/product-images/parts/batch-2/11100003/11100003_TT.tif""]",2022-02-26
11100004,Loctite 268 Threadlocker Stick- Red,Loctite™ Threadlocker™ Stick is formulated to lock and seal threaded metal fasteners.,http://harley-davidson.com/dk/da/shop/loctite-268-threadlocker-stick-red/p/11100004,motorcycle-lubricants-and-sealants,"Lubricants, Greases & Sealants","[""/content/dam/h-d/images/product-images/parts/batch-2/11100004/11100004_TT.tif""]",2022-02-26
